ApsimVersion = 7.10 r4207
Title = Br1soybeanSIF1
           date DaysAfterSowing    day_of_year           MaxT           MinT           Radn            LAI            SLN    swdef_photo    BIOtotalDAY BIOshootDAYPot    BIOshootDAY      RootShoot     EcanDemand     EcanSupply             TE    RadIntDcaps        Biomass          Yield Fsingle_spectral_toc            GPP           FPAR         height          stage             Je            RUE Fsingle_spectral_tot         Fyield              P
   (dd/mm/yyyy)           (day)             ()           (oC)           (oC)   (MJ/m^2/day)      (m^2/m^2)      (mgN/m^2)             ()             ()             ()             ()             ()             ()             ()             ()             ()        (kg/ha)        (kg/ha)                   ()             ()             ()           (mm)             ()             ()             ()                   ()             ()             ()
     11/01/2017               0             11          2.570        -11.170          3.970          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     12/01/2017               0             12         -4.450        -12.700          8.310          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     13/01/2017               0             13         -6.960        -12.110          5.910          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     14/01/2017               0             14         -0.050         -8.460          8.770          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     15/01/2017               0             15          0.890         -6.660          4.410          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     16/01/2017               0             16          1.260         -2.570          2.220          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     17/01/2017               0             17          1.910         -6.840          5.280          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     18/01/2017               0             18          5.520         -6.730         10.090          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     19/01/2017               0             19          3.760         -1.720          4.470          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     20/01/2017               0             20          3.320          0.250          3.840          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     21/01/2017               0             21          8.740         -0.690          5.730          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     22/01/2017               0             22          4.890         -2.800          4.100          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     23/01/2017               0             23          1.080         -3.210          2.440          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     24/01/2017               0             24          2.010         -3.220          2.730          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     25/01/2017               0             25          1.300         -3.120          2.740          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     26/01/2017               0             26         -0.150         -5.960          4.770          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     27/01/2017               0             27          0.710         -9.820         10.290          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     28/01/2017               0             28          0.320         -5.400          6.640          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     29/01/2017               0             29          2.240         -3.990          7.400          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     30/01/2017               0             30          8.850         -5.380         11.190          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     31/01/2017               0             31          4.190         -0.480          6.220          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     01/02/2017               0             32          0.180         -7.760         10.700          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     02/02/2017               0             33         -4.470        -11.310         11.620          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     03/02/2017               0             34         -2.520        -10.100         12.780          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     04/02/2017               0             35          5.450         -8.990         12.120          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     05/02/2017               0             36          1.740         -6.720         12.390          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     06/02/2017               0             37         11.130         -4.170         12.230          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     07/02/2017               0             38          3.330         -6.060          3.740          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     08/02/2017               0             39         -4.880        -11.770          8.160          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     09/02/2017               0             40         -4.410        -14.020          8.610          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     10/02/2017               0             41         11.220         -7.720         12.930          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     11/02/2017               0             42         10.560          1.200         10.420          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     12/02/2017               0             43          7.930         -2.760         14.160          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     13/02/2017               0             44         10.050         -3.400         13.790          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     14/02/2017               0             45         10.050         -3.310         14.470          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     15/02/2017               0             46          5.030         -5.080         14.600          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     16/02/2017               0             47         14.100         -1.890         14.550          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     17/02/2017               0             48         19.630          0.930         14.980          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     18/02/2017               0             49         16.440         -0.780         15.110          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     19/02/2017               0             50         19.250          1.830         14.640          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     20/02/2017               0             51         15.980          6.970          2.130          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     21/02/2017               0             52         18.350         -0.130         15.680          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     22/02/2017               0             53         20.150          3.660         15.630          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     23/02/2017               0             54          6.450          1.570          5.240          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     24/02/2017               0             55          1.240         -5.730          5.700          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     25/02/2017               0             56          0.750        -10.070         15.090          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     26/02/2017               0             57          6.290         -4.040         16.920          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     27/02/2017               0             58         10.720         -3.570         15.800          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     28/02/2017               0             59         12.330          1.590         12.130          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     01/03/2017               0             60          5.920         -4.670          8.380          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     02/03/2017               0             61          2.290         -5.840         13.560          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     03/03/2017               0             62          3.000         -6.150         15.410          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     04/03/2017               0             63         14.970         -3.500         17.150          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     05/03/2017               0             64         14.170          5.750          7.090          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     06/03/2017               0             65         22.760          4.050         14.500          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     07/03/2017               0             66         11.770         -0.980         17.740          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     08/03/2017               0             67         10.730         -1.970         16.820          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     09/03/2017               0             68          5.930         -4.230         14.730          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     10/03/2017               0             69         -1.030         -7.970         12.980          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     11/03/2017               0             70         -0.980         -6.020         11.460          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     12/03/2017               0             71          1.320         -7.300          7.610          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     13/03/2017               0             72         -0.810         -6.730          4.670          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     14/03/2017               0             73         -1.480         -9.380         12.760          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     15/03/2017               0             74          1.940        -10.140         17.510          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     16/03/2017               0             75         10.100         -4.020         17.170          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     17/03/2017               0             76         16.250          0.220         19.780          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     18/03/2017               0             77         10.650         -3.600         20.080          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     19/03/2017               0             78         20.270         -1.240         18.590          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     20/03/2017               0             79         17.930          4.620         19.780          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     21/03/2017               0             80          8.800         -1.920         12.980          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     22/03/2017               0             81          6.960         -3.780         16.380          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     23/03/2017               0             82         17.080          1.610         16.480          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     24/03/2017               0             83         19.060          5.180          2.130          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     25/03/2017               0             84          6.770          3.590          4.980          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     26/03/2017               0             85         10.220          2.850          7.590          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     27/03/2017               0             86         13.540          4.340          6.500          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     28/03/2017               0             87         14.680          2.770          7.670          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     29/03/2017               0             88          7.860          3.000          1.920          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     30/03/2017               0             89          9.840          2.100          5.140          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     31/03/2017               0             90         11.230          1.610          8.800          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     01/04/2017               0             91         14.380          1.770          9.730          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     02/04/2017               0             92         12.830          5.390          4.140          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     03/04/2017               0             93         11.700          7.150          4.260          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     04/04/2017               0             94         14.350          6.160         10.600          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     05/04/2017               0             95         10.310          5.450          8.450          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     06/04/2017               0             96         12.550          0.200         22.630          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     07/04/2017               0             97         15.410          0.400         22.530          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     08/04/2017               0             98         23.200          4.600         18.930          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     09/04/2017               0             99         23.720         13.540         16.750          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     10/04/2017               0            100         16.850          5.460         17.020          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     11/04/2017               0            101         15.510          1.880         24.310          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     12/04/2017               0            102         18.350          4.900         14.510          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     13/04/2017               0            103         22.100         10.510         19.630          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     14/04/2017               0            104         23.000         13.070         12.200          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     15/04/2017               0            105         22.400         14.390         12.030          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     16/04/2017               0            106         20.770          9.360         23.950          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     17/04/2017               0            107         21.830          6.270         24.540          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     18/04/2017               0            108         23.060          9.660         17.440          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     19/04/2017               0            109         24.010          8.850         16.820          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     20/04/2017               0            110         16.030          5.930         12.600          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     21/04/2017               0            111         14.150          3.520         18.650          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     22/04/2017               0            112         18.230          5.010         24.880          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     23/04/2017               0            113         21.770          4.560         25.610          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     24/04/2017               0            114         22.080          7.260         23.850          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
